,index,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime,hand_location,hand_rotation
417,103,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:07.691,(23.276096;0.000414;7.132202),(-7.733005;-8.784619;145.681808)
418,104,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:07.847,(19.789791;0.99105;8.299271),(-5.292441;-13.214904;146.620651)
419,105,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:08.304,(13.246002;11.69265;13.773323),(-13.841049;-20.563047;170.202164)
420,106,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:09.608,(11.559532;12.657876;12.435349),(-7.336332;-12.268515;177.478714)
421,107,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:16.077,(11.21369;1.7745;3.595032),(-4.479784;15.431223;-19.141344)
422,108,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:16.197,(12.487682;6.992374;7.011322),(-3.68747;22.586315;4.381947)
423,109,AB,1,T2,IA_Grab,completed,Right,2024-10-25 13:53:16.516,(20.438938;30.791582;16.00135),(-9.177813;8.585013;34.155838)
424,110,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:18.047,(17.700724;24.964283;14.470917),(-7.590613;43.223995;15.124186)
425,111,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:18.458,(14.452353;20.140022;20.262268),(-4.471057;63.688248;16.445881)
426,112,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:19.111,(0.44875;20.063915;4.664635),(-11.907025;29.007017;17.838511)
427,113,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:19.533,(2.466499;16.046206;2.726929),(-5.152767;45.393841;12.796283)
428,114,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:19.918,(4.32103;14.64519;1.884384),(-11.488572;36.94286;1.597654)
429,115,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:20.066,(5.077187;14.0502;1.530067),(-10.58568;42.017868;-3.938253)
430,116,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:23.906,(25.658094;3.966147;1.432686),(-6.482091;24.840397;-39.19035)
431,117,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:23.989,(25.781738;5.39376;0.223869),(-3.094298;31.605597;-40.493401)
432,118,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:29.710,(32.93523;4.656878;6.649002),(-13.577901;13.201551;-22.353825)
433,119,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:29.820,(33.561352;3.128013;6.571167),(-5.56811;9.333171;-17.169914)
434,120,AB,1,T2,IA_Menu_Interact,started,Right,2024-10-25 13:53:39.600,(28.840353;8.821046;25.439896),(-47.389271;75.807549;-84.551308)
435,121,AB,1,T2,IA_Menu_Interact,completed,Right,2024-10-25 13:53:39.684,(28.861603;8.70125;25.491158),(-46.574203;75.801064;-84.306076)
436,122,AB,1,T2,IA_Grab,started,Right,2024-10-25 13:53:43.325,(3.057667;31.33481;6.552917),(7.96529;26.737782;-88.93177)
437,123,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:44.990,(9.367954;20.363791;2.486343),(1.212322;3.795088;-135.975967)
438,124,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:45.210,(9.234055;22.50841;1.522575),(8.144581;4.370274;-129.827972)
439,125,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:45.820,(6.35083;22.373005;5.826141),(-4.366821;-2.921607;-127.930656)
440,126,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:45.960,(4.503426;22.783936;6.217377),(-2.814498;-1.963145;-123.150848)
441,127,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:55.940,(11.902256;17.448698;5.399704),(-5.259113;22.920998;-100.796349)
442,128,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:56.109,(11.209335;18.495346;5.126007),(-3.017799;22.020927;-107.311691)
443,129,AB,1,T2,IA_Move,started,Right,2024-10-25 13:53:58.953,(10.585381;16.180504;0.117882),(-7.135093;18.190807;89.516808)
444,130,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:53:59.127,(7.939629;15.783258;0.519547),(-6.319303;20.004911;84.900887)
445,131,AB,1,T2,IA_Move,started,Right,2024-10-25 13:54:00.135,(10.613525;5.665279;8.232491),(-2.116765;-21.501505;144.150757)
446,132,AB,1,T2,IA_Move,completed,Right,2024-10-25 13:54:00.238,(9.38604;4.625017;7.735313),(0.894558;-18.928709;142.570786)
447,133,AB,1,T2,IA_Grab,completed,Right,2024-10-25 13:54:04.099,(42.661743;32.391224;15.711929),(-6.489239;17.738636;36.247837)
448,134,AB,1,T2,IA_Move,started,Right,2024-10-25 13:54:04.598,(43.741524;31.976301;39.041885),(-8.920911;59.656815;21.447432)
