user_id,scenary_type,start_datetime,end_datetime,start_position,end_position,distance
40,CarAccident,2023-05-04 10:36:10,2023-05-04 10:36:10,X=-9405.903 Y=-1545.201 Z=3.322,X=-9192.607 Y=-1600.142 Z=3.322,2.20258
40,CarAccident,2023-05-04 10:36:10,2023-05-04 10:36:10,X=-9192.174 Y=-1599.998 Z=5.726,X=-8978.955 Y=-1648.960 Z=5.726,2.187682
40,CarAccident,2023-05-04 10:36:11,2023-05-04 10:36:11,X=-8976.851 Y=-1648.710 Z=5.726,X=-8763.652 Y=-1711.765 Z=5.726,2.223272
40,CarAccident,2023-05-04 10:36:12,2023-05-04 10:36:12,X=-8763.722 Y=-1711.092 Z=5.726,X=-8566.869 Y=-1776.737 Z=5.726,2.075094
40,CarAccident,2023-05-04 10:36:13,2023-05-04 10:36:13,X=-8567.941 Y=-1774.083 Z=5.726,X=-8314.812 Y=-1819.161 Z=5.726,2.571113
40,CarAccident,2023-05-04 10:36:15,2023-05-04 10:36:15,X=-8333.141 Y=-1817.476 Z=5.726,X=-8543.356 Y=-1737.278 Z=5.726,2.249942
40,CarAccident,2023-05-04 10:36:15,2023-05-04 10:36:16,X=-8541.449 Y=-1735.357 Z=5.726,X=-8750.405 Y=-1676.383 Z=5.726,2.171188
40,CarAccident,2023-05-04 10:36:16,2023-05-04 10:36:16,X=-8752.226 Y=-1676.567 Z=5.726,X=-8959.746 Y=-1631.988 Z=5.726,2.122545
40,CarAccident,2023-05-04 10:36:18,2023-05-04 10:36:18,X=-8945.333 Y=-1637.163 Z=5.726,X=-8816.486 Y=-1677.903 Z=5.726,1.351339
40,CarAccident,2023-05-04 10:36:22,2023-05-04 10:36:22,X=-8850.248 Y=-1673.911 Z=5.726,X=-9011.622 Y=-1621.501 Z=5.726,1.696716
40,CarAccident,2023-05-04 10:36:45,2023-05-04 10:36:45,X=-8994.811 Y=-1611.747 Z=5.726,X=-9109.909 Y=-1385.448 Z=5.726,2.53888
40,CarAccident,2023-05-04 10:36:45,2023-05-04 10:36:46,X=-9111.155 Y=-1385.611 Z=3.322,X=-9242.447 Y=-1172.422 Z=3.322,2.503741
40,CarAccident,2023-05-04 10:36:46,2023-05-04 10:36:46,X=-9243.323 Y=-1172.876 Z=3.322,X=-9365.994 Y=-954.361 Z=3.322,2.505934
40,CarAccident,2023-05-04 10:36:46,2023-05-04 10:36:47,X=-9366.181 Y=-955.329 Z=3.322,X=-9492.981 Y=-741.836 Z=3.322,2.483101
40,CarAccident,2023-05-04 10:36:47,2023-05-04 10:36:47,X=-9490.251 Y=-737.891 Z=3.322,X=-9624.796 Y=-526.016 Z=3.322,2.509849
40,CarAccident,2023-05-04 10:36:48,2023-05-04 10:36:48,X=-9624.883 Y=-525.868 Z=3.322,X=-9767.203 Y=-315.624 Z=3.322,2.538852
40,CarAccident,2023-05-04 10:36:48,2023-05-04 10:36:49,X=-9767.364 Y=-315.834 Z=3.322,X=-9911.751 Y=-114.872 Z=3.322,2.474535
40,CarAccident,2023-05-04 10:36:56,2023-05-04 10:36:56,X=-9920.564 Y=-113.834 Z=3.322,X=-10111.022 Y=-36.348 Z=3.322,2.056172
40,CarAccident,2023-05-04 10:36:57,2023-05-04 10:36:57,X=-10112.597 Y=-33.634 Z=3.322,X=-10191.263 Y=-6.536 Z=3.322,0.832023
40,CarAccident,2023-05-04 10:36:59,2023-05-04 10:36:59,X=-10170.798 Y=-20.649 Z=3.322,X=-10052.779 Y=-167.476 Z=3.322,1.883788
40,CarAccident,2023-05-04 10:37:00,2023-05-04 10:37:00,X=-10046.917 Y=-168.651 Z=3.322,X=-9922.818 Y=-299.907 Z=3.322,1.806344
40,CarAccident,2023-05-04 10:37:03,2023-05-04 10:37:03,X=-9938.629 Y=-274.065 Z=3.322,X=-10079.751 Y=-127.523 Z=3.322,2.034458
