,index,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime,hand_location,hand_rotation
249,99,AA,1,S1,IA_Grab,completed,Left,2024-10-22 13:54:34.050,,
250,100,AA,1,S1,IA_Grab,started,Left,2024-10-22 13:54:34.441,,
251,101,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:35.836,,
252,102,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:36.324,,
253,103,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:36.759,,
254,104,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:37.122,,
255,105,AA,1,S1,IA_Grab,completed,Left,2024-10-22 13:54:39.362,,
256,106,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:42.946,,
257,107,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:43.550,,
258,108,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:43.994,,
259,109,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:44.418,,
260,110,AA,1,S1,IA_Menu_Interact,started,Left,2024-10-22 13:54:45.504,,
261,111,AA,1,S1,IA_Menu_Interact,completed,Left,2024-10-22 13:54:45.649,,
262,112,AA,1,S1,IA_Menu_Interact,started,Left,2024-10-22 13:54:46.580,,
263,113,AA,1,S1,IA_Menu_Interact,completed,Left,2024-10-22 13:54:46.726,,
264,114,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:49.256,,
265,115,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:51.226,,
266,116,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:51.718,,
267,117,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:54:51.968,,
268,118,AA,1,S1,IA_Grab,started,Right,2024-10-22 13:54:53.938,,
269,119,AA,1,S1,IA_Move,started,Left,2024-10-22 13:54:54.659,,
270,120,AA,1,S1,IA_Move,completed,Left,2024-10-22 13:54:55.040,,
271,121,AA,1,S1,IA_Move,started,Left,2024-10-22 13:54:55.391,,
272,122,AA,1,S1,IA_Move,completed,Left,2024-10-22 13:54:55.697,,
273,123,AA,1,S1,IA_Move,started,Left,2024-10-22 13:54:56.346,,
274,124,AA,1,S1,IA_Move,completed,Left,2024-10-22 13:54:56.531,,
275,125,AA,1,S1,IA_Grab,completed,Right,2024-10-22 13:54:57.775,,
276,126,AA,1,S1,IA_Move,started,Right,2024-10-22 13:54:59.237,,
277,127,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:55:00.942,,
278,128,AA,1,S1,IA_Move,started,Right,2024-10-22 13:55:01.303,,
279,129,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:55:01.616,,
280,130,AA,1,S1,IA_Menu_Interact,started,Right,2024-10-22 13:55:02.329,,
281,131,AA,1,S1,IA_Menu_Interact,completed,Right,2024-10-22 13:55:02.403,,
282,132,AA,1,S1,IA_Move,started,Right,2024-10-22 13:55:04.390,,
283,133,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:55:04.547,,
284,134,AA,1,S1,IA_Move,started,Right,2024-10-22 13:55:21.972,,
285,135,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:55:22.375,,
286,136,AA,1,S1,IA_Move,started,Right,2024-10-22 13:55:39.417,,
287,137,AA,1,S1,IA_Move,completed,Right,2024-10-22 13:55:40.760,,
288,0,AA,1,T2,IA_Move,started,Right,2024-10-22 13:55:41.781,,
289,1,AA,1,T2,IA_Move,completed,Right,2024-10-22 13:55:42.043,,
290,2,AA,1,T2,IA_Menu_Interact,started,Right,2024-10-22 13:56:25.678,,
291,3,AA,1,T2,IA_Menu_Interact,completed,Right,2024-10-22 13:56:25.763,,
292,4,AA,1,T2,IA_Menu_Interact,started,Right,2024-10-22 13:57:06.762,,
293,5,AA,1,T2,IA_Menu_Interact,completed,Right,2024-10-22 13:57:06.849,,
294,6,AA,1,T2,IA_Move,started,Right,2024-10-22 13:57:11.128,,
295,7,AA,1,T2,IA_Move,completed,Right,2024-10-22 13:57:11.516,,
296,8,AA,1,T2,IA_Move,started,Right,2024-10-22 13:57:13.068,,
297,9,AA,1,T2,IA_Move,completed,Right,2024-10-22 13:57:13.955,,
298,10,AA,1,T2,IA_Menu_Interact,started,Right,2024-10-22 13:57:15.344,,
299,11,AA,1,T2,IA_Menu_Interact,completed,Right,2024-10-22 13:57:15.475,,
300,12,AA,1,T2,IA_Menu_Interact,started,Right,2024-10-22 13:57:15.756,,
301,13,AA,1,T2,IA_Menu_Interact,completed,Right,2024-10-22 13:57:15.849,,
302,14,AA,1,T2,IA_Menu_Interact,started,Right,2024-10-22 13:57:16.188,,
303,15,AA,1,T2,IA_Menu_Interact,completed,Right,2024-10-22 13:57:16.309,,
304,16,AA,1,T2,IA_Menu_Interact,started,Right,2024-10-22 13:57:16.622,,
305,17,AA,1,T2,IA_Menu_Interact,completed,Right,2024-10-22 13:57:16.742,,
306,18,AA,1,T2,IA_Menu_Interact,started,Right,2024-10-22 13:57:17.058,,
307,19,AA,1,T2,IA_Menu_Interact,completed,Right,2024-10-22 13:57:17.181,,
308,20,AA,1,T2,IA_Menu_Interact,started,Right,2024-10-22 13:57:17.945,,
309,21,AA,1,T2,IA_Menu_Interact,completed,Right,2024-10-22 13:57:18.029,,
310,22,AA,1,T2,IA_Menu_Interact,started,Right,2024-10-22 13:57:22.314,,
311,23,AA,1,T2,IA_Menu_Interact,completed,Right,2024-10-22 13:57:22.401,,
312,24,AA,1,T2,IA_Move,started,Right,2024-10-22 13:57:23.115,,
313,25,AA,1,T2,IA_Move,completed,Right,2024-10-22 13:57:24.133,,
314,26,AA,1,T2,IA_Move,started,Right,2024-10-22 13:57:24.611,,
315,27,AA,1,T2,IA_Move,completed,Right,2024-10-22 13:57:24.941,,
316,28,AA,1,T2,IA_Move,started,Right,2024-10-22 13:57:25.416,,
317,29,AA,1,T2,IA_Move,completed,Right,2024-10-22 13:57:26.242,,
318,30,AA,1,T2,IA_Move,started,Right,2024-10-22 13:57:27.116,,
319,31,AA,1,T2,IA_Move,completed,Right,2024-10-22 13:57:27.256,,
320,32,AA,1,T2,IA_Menu_Interact,started,Right,2024-10-22 13:57:41.786,,
321,33,AA,1,T2,IA_Menu_Interact,completed,Right,2024-10-22 13:57:41.874,,
322,34,AA,1,T2,IA_Move,started,Right,2024-10-22 13:57:50.115,,
323,35,AA,1,T2,IA_Move,completed,Right,2024-10-22 13:57:50.477,,
324,36,AA,1,T2,IA_Move,started,Right,2024-10-22 13:57:51.242,,
325,37,AA,1,T2,IA_Move,completed,Right,2024-10-22 13:57:51.674,,
326,38,AA,1,T2,IA_Move,started,Right,2024-10-22 13:58:15.616,,
