id,user_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
97, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:27", "2024-1-29 16:59:27", "-20.682489,4.30685", "-10.162306,-1.278826", "0.119111"
98, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:28", "2024-1-29 16:59:28", "12844.9375,-4190.004883", "12599.920898,-4137.451172", "2.5059"
99, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:28", "2024-1-29 16:59:29", "12600.355469,-4137.075684", "12412.736328,-4101.327637", "1.909944"
100, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:29", "2024-1-29 16:59:29", "12413.058594,-4100.522949", "12267.358398,-4077.205078", "1.47555"
101, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:29", "2024-1-29 16:59:29", "12267.487305,-4076.507812", "12220.0,-4065.781738", "0.48684"
102, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:27", "2024-1-29 16:59:31", "0.0,0.0", "1.340318,-10.496048", "0.105813"
103, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:31", "2024-1-29 16:59:32", "1.340318,-10.496048", "-5.754507,-2.212508", "0.109066"
104, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:32", "2024-1-29 16:59:32", "12227.488281,-4067.8396", "12428.31543,-4027.641846", "2.048111"
105, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:32", "2024-1-29 16:59:32", "12429.504883,-4028.798584", "12622.442383,-3987.163574", "1.973789"
106, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:32", "2024-1-29 16:59:32", "12623.321289,-3987.710938", "12798.532227,-3950.31665", "1.791569"
107, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:33", "2024-1-29 16:59:33", "12799.009766,-3950.641113", "12959.865234,-3913.693359", "1.650449"
108, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:33", "2024-1-29 16:59:33", "12959.773438,-3913.756592", "13107.542969,-3863.852295", "1.559686"
109, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:33", "2024-1-29 16:59:33", "13107.146484,-3863.598633", "13220.0,-3813.483398", "1.234808"
110, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:32", "2024-1-29 16:59:34", "0.0,0.0", "12.295024,-0.307702", "0.122989"
111, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:34", "2024-1-29 16:59:36", "12.295024,-0.307702", "9.12009,14.081457", "0.147353"
112, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:36", "2024-1-29 16:59:36", "13211.006836,-3825.966309", "13213.814453,-3922.482422", "0.96557"
113, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:36", "2024-1-29 16:59:38", "0.0,0.0", "-4.037417,-10.440391", "0.111939"
114, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:38", "2024-1-29 16:59:39", "13216.162109,-3912.409424", "13024.917969,-3937.225342", "1.928474"
115, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:39", "2024-1-29 16:59:39", "13024.355469,-3936.098633", "12855.986328,-3968.85498", "1.715261"
116, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:39", "2024-1-29 16:59:39", "12855.580078,-3967.906006", "12695.592773,-3994.217529", "1.621367"
117, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:39", "2024-1-29 16:59:39", "12695.151367,-3993.644775", "12536.244141,-4019.3396", "1.609715"
118, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:40", "2024-1-29 16:59:40", "12536.175781,-4019.015381", "12380.46875,-4046.898438", "1.581837"
119, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:40", "2024-1-29 16:59:40", "12380.503906,-4046.54541", "12253.998047,-4046.002197", "1.265067"
120, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:40", "2024-1-29 16:59:41", "12253.80957,-4044.976562", "12220.0,-4003.185059", "0.537553"
121, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:38", "2024-1-29 16:59:42", "0.0,0.0", "-8.441528,12.926002", "0.154383"
122, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:43", "2024-1-29 16:59:43", "12227.90625,-4018.031982", "12444.626953,-4021.078857", "2.167414"
123, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:43", "2024-1-29 16:59:43", "12445.483398,-4021.119385", "12631.347656,-3998.038818", "1.87292"
124, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:43", "2024-1-29 16:59:43", "12632.25293,-3998.879639", "12822.748047,-3997.771484", "1.904988"
125, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:43", "2024-1-29 16:59:43", "12823.307617,-3998.52002", "12992.249023,-4003.513916", "1.690151"
126, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:44", "2024-1-29 16:59:44", "12992.675781,-4004.159424", "13110.823242,-4017.104736", "1.188549"
127, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:44", "2024-1-29 16:59:44", "13110.53418,-4018.126221", "13196.629883,-4017.095703", "0.861015"
128, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:45", "2024-1-29 16:59:45", "13194.928711,-4018.363525", "13220.0,-4020.501221", "0.251622"
129, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:47", "2024-1-29 16:59:47", "13217.02832,-4030.231445", "13061.822266,-4133.544434", "1.864474"
130, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:48", "2024-1-29 16:59:48", "13060.696289,-4132.662598", "13001.256836,-4183.278809", "0.780704"
131, "0", "S1_BasicMechanics", "real_life", "2024-1-29 16:59:42", "2024-1-29 16:59:50", "0.0,0.0", "-0.442162,-10.079153", "0.100888"
132, "0", "S1_BasicMechanics", "virtual_reality", "2024-1-29 16:59:51", "2024-1-29 16:59:51", "13003.650391,-4173.420898", "12943.269531,-4129.53418", "0.746456"
